Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
4.996206096433858	-73.82106064511504	0.0219	0.039	0.0171	0.0176	0.0069	0.0055	0.0014	0.003	agua
4.996204642880168	-73.82025221612143	0.0217	0.0367	0.0172	0.0172	0.0079	0.0068	0.0027	0.0054	agua
4.99620318833064	-73.81944378736605	0.0128	0.0176	0.0078	0.0086	0.006	0.0079	0.0025	0.0042	agua
4.996201732785277	-73.8186353588491	0.0161	0.0243	0.0109	0.0109	0.0063	0.0059	0.002	0.0037	agua
4.996200276244079	-73.81782693057069	0.0192	0.0314	0.0146	0.015	0.0081	0.0067	0.0031	0.0042	agua
4.9961988187070485	-73.81701850253103	0.012	0.0156	0.0076	0.0084	0.0053	0.0059	0.0032	0.0033	agua
4.996197360174186	-73.81621007473026	0.0107	0.0123	0.0056	0.0062	0.0036	0.0043	0.0023	0.0027	agua
4.996195900645494	-73.81540164716857	0.0082	0.0106	0.0045	0.0046	0.0024	0.0022	0.0012	0.0021	agua
4.996194440120974	-73.81459321984609	0.0091	0.0135	0.0059	0.0062	0.0029	0.0026	0.0012	0.0029	agua
4.996192978600627	-73.81378479276299	0.008	0.0103	0.0049	0.0045	0.002	0.0023	0.0023	0.0029	agua
4.99540011073405	-73.8218705162385	0.0242	0.0444	0.0191	0.0193	0.0074	0.0058	0.0015	0.0015	agua
4.995398658412093	-73.82106208799567	0.0232	0.0425	0.0186	0.0196	0.0074	0.0059	0.0015	0.0018	agua
4.995397205094458	-73.82025365999091	0.0195	0.033	0.0145	0.0146	0.0067	0.0062	0.0021	0.0028	agua
4.995395750781148	-73.8194452322244	0.0153	0.0214	0.0097	0.0096	0.0064	0.0063	0.0027	0.0028	agua
4.995394295472163	-73.8186368046963	0.013	0.0153	0.0081	0.0089	0.0068	0.0076	0.0041	0.006	agua
4.995392839167508	-73.81782837740674	0.0131	0.0161	0.009	0.0102	0.008	0.0084	0.0048	0.0064	agua
4.995391381867179	-73.81701995035594	0.0198	0.0195	0.0113	0.0113	0.0088	0.0043	0.0063	0.0064	agua
4.995389923571184	-73.81621152354403	0.021	0.0219	0.0143	0.0153	0.0132	0.0088	0.0108	0.0081	agua
4.995388464279517	-73.81540309697118	0.0108	0.0164	0.0074	0.0073	0.0038	0.0104	0.0023	0.0032	agua
4.995387003992187	-73.81459467063755	0.0094	0.012	0.0061	0.006	0.0035	0.0011	0.0021	0.0024	agua
4.994595573641724	-73.82348881311613	0.0239	0.0425	0.0189	0.0189	0.0076	0.0067	0.0022	0.002	agua
4.994592672456148	-73.82187195789427	0.0232	0.0425	0.0188	0.0182	0.0071	0.0059	0.0017	0.0017	agua
4.994591220370085	-73.82106353064013	0.0216	0.0383	0.0172	0.0176	0.0075	0.0065	0.0018	0.0017	agua
4.994589767288505	-73.82025510362408	0.0203	0.0356	0.0156	0.0166	0.0067	0.0062	0.0018	0.0021	agua
4.9945883132114135	-73.81944667684627	0.0186	0.0293	0.0133	0.0132	0.007	0.0066	0.0022	0.0027	agua
4.994586858138809	-73.81863825030685	0.0137	0.0164	0.0085	0.0092	0.007	0.0057	0.0046	0.0047	agua
4.994585402070694	-73.81782982400601	0.0134	0.0159	0.0091	0.0095	0.008	0.0071	0.0043	0.0051	agua
4.994583945007069	-73.81702139794389	0.0223	0.0264	0.0199	0.0217	0.0204	0.0125	0.0155	0.0124	agua
4.994582486947936	-73.81621297212068	0.0173	0.0235	0.0162	0.0191	0.018	0.0207	0.0139	0.0128	agua
4.994581027893297	-73.81540454653653	0.0121	0.0173	0.0083	0.0081	0.0038	0.0141	0.0029	0.0036	agua
4.994579567843154	-73.81459612119158	0.011	0.0145	0.0076	0.0074	0.0047	0.0023	0.0035	0.0038	agua
4.993788134872285	-73.82349025255886	0.0237	0.0419	0.0183	0.0189	0.007	0.0052	0.0011	0.0018	agua
4.993785234158011	-73.82187339931407	0.0234	0.0417	0.0186	0.0191	0.0076	0.0056	0.0016	0.002	agua
4.993783782307841	-73.82106497304848	0.0239	0.0424	0.019	0.0191	0.008	0.0055	0.0018	0.0015	agua
4.9937823294623165	-73.82025654702095	0.0212	0.037	0.016	0.0166	0.0068	0.0074	0.0022	0.0019	agua
4.993780875621442	-73.81944812123167	0.0157	0.024	0.0108	0.0111	0.0066	0.0045	0.0024	0.0026	agua
4.993779420785216	-73.81863969568079	0.0204	0.0316	0.0152	0.0153	0.0076	0.0066	0.0034	0.0038	agua
4.99377796495364	-73.81783127036849	0.0153	0.0211	0.011	0.0111	0.0067	0.0076	0.0036	0.0045	agua
