Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
5.021387195110775	-73.90752233221593	0.0359	0.0502	0.05	0.0832	0.1423	0.158	0.1715	0.1138	vegetacion
5.021385841338271	-73.90671384793335	0.0223	0.0355	0.0275	0.0629	0.1473	0.1647	0.1194	0.0673	vegetacion
5.0213844865647665	-73.9059053638716	0.018	0.0306	0.0197	0.0567	0.1474	0.1887	0.0999	0.0514	vegetacion
5.021383130790262	-73.90509688003084	0.0207	0.0334	0.0236	0.0625	0.1538	0.2044	0.1084	0.0589	vegetacion
5.021381774014761	-73.90428839641122	0.021	0.0299	0.0253	0.0514	0.1109	0.1348	0.1009	0.0573	vegetacion
5.021380416238263	-73.90347991301293	0.0208	0.0379	0.0234	0.0701	0.1791	0.1636	0.1238	0.0646	vegetacion
5.021379057460771	-73.9026714298361	0.0237	0.0417	0.0264	0.0748	0.1841	0.1986	0.1275	0.0675	vegetacion
5.021377697682285	-73.90186294688094	0.028	0.0434	0.0344	0.0779	0.1678	0.1965	0.1407	0.0799	vegetacion
5.021376336902805	-73.90105446414758	0.0305	0.0439	0.0395	0.0761	0.1528	0.192	0.1543	0.0941	vegetacion
5.020581085945627	-73.90833215957372	0.0252	0.0344	0.0322	0.0583	0.1076	0.1545	0.1128	0.0683	vegetacion
5.0205797333927284	-73.90752367606451	0.0299	0.0415	0.0395	0.072	0.1353	0.1745	0.143	0.0904	vegetacion
5.020578379838992	-73.90671519277596	0.0296	0.0441	0.0396	0.0753	0.1489	0.1663	0.1492	0.0931	vegetacion
5.020577025284415	-73.90590670970823	0.0316	0.0471	0.043	0.0789	0.156	0.1892	0.1552	0.0981	vegetacion
5.020575669729	-73.9050982268615	0.0182	0.0302	0.0192	0.0548	0.1423	0.1882	0.1005	0.0528	vegetacion
5.020574313172752	-73.9042897442359	0.0246	0.0372	0.0308	0.066	0.142	0.1744	0.1212	0.0723	vegetacion
5.020572955615669	-73.90348126183163	0.0167	0.0274	0.0183	0.0493	0.1155	0.2096	0.0794	0.0409	vegetacion
5.02057159705775	-73.90267277964884	0.0188	0.0338	0.02	0.0607	0.1564	0.2347	0.1065	0.0547	vegetacion
5.020570237499002	-73.90186429768768	0.0274	0.0429	0.0337	0.0759	0.1609	0.1969	0.1367	0.0794	vegetacion
5.019774975322306	-73.90914198494542	0.0169	0.0257	0.0215	0.0483	0.1195	0.1462	0.0823	0.0455	vegetacion
5.0197736239886925	-73.90833350220957	0.0323	0.0421	0.041	0.065	0.1099	0.1359	0.1292	0.0879	vegetacion
5.019772271654398	-73.90752501969422	0.0337	0.0455	0.0449	0.0769	0.1326	0.1401	0.1584	0.1036	vegetacion
5.019770918319427	-73.90671653739953	0.0336	0.0464	0.0439	0.0783	0.143	0.1701	0.1641	0.1079	vegetacion
5.019769563983779	-73.90590805532567	0.0272	0.0458	0.0324	0.0793	0.1796	0.2138	0.1577	0.0898	vegetacion
5.019768208647455	-73.90509957347281	0.0277	0.041	0.0347	0.0718	0.1504	0.1958	0.1359	0.0818	vegetacion
5.019766852310457	-73.90429109184107	0.0287	0.0393	0.0374	0.0668	0.1222	0.1308	0.1344	0.0878	vegetacion
5.019765494972786	-73.90348261043067	0.0241	0.0385	0.0282	0.0672	0.1462	0.1628	0.1142	0.064	vegetacion
5.018968863241304	-73.90995180833133	0.0202	0.0314	0.0259	0.0572	0.1249	0.1786	0.1033	0.0599	vegetacion
5.018967513126651	-73.90914332636885	0.0216	0.0335	0.0284	0.0625	0.1337	0.1497	0.1108	0.0634	vegetacion
5.01896616201148	-73.90833484462671	0.0292	0.0415	0.0401	0.0726	0.1338	0.1347	0.1435	0.0895	vegetacion
5.01896480989579	-73.90752636310506	0.0287	0.0416	0.0384	0.0734	0.1377	0.18	0.1477	0.0895	vegetacion
5.018963456779584	-73.9067178818041	0.0213	0.0379	0.0236	0.0667	0.1713	0.1517	0.1314	0.0691	vegetacion
5.018962102662864	-73.90590940072393	0.0223	0.0393	0.0244	0.0672	0.1589	0.1976	0.1162	0.0624	vegetacion
5.018960747545629	-73.90510091986475	0.0308	0.0436	0.0412	0.0755	0.1425	0.1456	0.15	0.094	vegetacion
5.018959391427881	-73.90429243922674	0.0273	0.042	0.0346	0.0746	0.1483	0.1728	0.1345	0.0796	vegetacion
5.018161400807094	-73.90995314854267	0.0248	0.037	0.0335	0.0664	0.1316	0.1665	0.1263	0.0751	vegetacion
5.018160050910722	-73.90914466757374	0.0233	0.0399	0.0281	0.0717	0.1629	0.1871	0.1256	0.066	vegetacion
5.0181587000139904	-73.90833618682515	0.0329	0.0457	0.0443	0.0774	0.1339	0.1904	0.1609	0.1039	vegetacion
5.018157348116905	-73.90752770629705	0.0245	0.0406	0.0313	0.0722	0.1467	0.1579	0.1338	0.0764	vegetacion
5.018155995219464	-73.90671922598962	0.0198	0.0341	0.0204	0.0603	0.1583	0.1782	0.1095	0.0559	vegetacion
5.018154641321669	-73.905910745903	0.0261	0.0427	0.0308	0.0752	0.1621	0.1982	0.1305	0.0739	vegetacion
5.018153286423523	-73.90510226603736	0.0271	0.0402	0.0348	0.0726	0.1485	0.1694	0.1334	0.0786	vegetacion
4.9608814907810785	-73.94076751899475	0.0885	0.1163	0.1169	0.1558	0.2402	0.1851	0.2327	0.176	vegetacion
4.960074018722172	-73.9407688061735	0.0389	0.0573	0.059	0.0954	0.167	0.1481	0.1827	0.1243	vegetacion
4.960072722112622	-73.93996038806645	0.0395	0.0617	0.0746	0.1093	0.1612	0.1999	0.235	0.1605	vegetacion
4.959266546643248	-73.94077009314012	0.0557	0.0765	0.066	0.1042	0.2062	0.2882	0.1834	0.1108	vegetacion
